High,Closed,Volume,RSI,SMA,K,Yesterday,Today,Sentiment_Score
153.19000244140625,148.24000549316406,35746900,22.75939082177456,145.85571452549524,13.646954726441528,1,0,0.08063999999999999
147.50999450683594,144.39999389648438,25482100,23.421583802503164,144.27642822265625,7.771243445935893,1,0,0.11283500000000003
143.1699981689453,141.22000122070312,26622000,28.668301201206503,143.06071417672294,13.880725635251533,0,0,0.20549999999999993
145.0,141.69000244140625,21970200,24.171903479050698,141.74642835344588,2.5139712427177985,1,0,0.124784
143.75999450683594,139.2899932861328,27470100,22.76359681213465,140.06571415492468,1.891917620426703,1,0,0.14858500000000002
139.94000244140625,135.88999938964844,28643100,23.7684992349039,138.43071474347795,2.875422167451834,1,0,0.10499500000000006
137.4499969482422,132.49000549316406,28625200,26.04718522552855,137.02785764421736,3.337835721893481,0,0,0.040419000000000004
137.25,135.80999755859375,20215500,22.28766883226993,135.98785727364677,10.915648180490146,0,1,0.053165000000000004
136.75,136.17999267578125,21147600,20.183502810163375,134.5750002179827,2.3454978121832912,1,1,0.10625599999999993
137.38999938964844,134.97000122070312,22410700,23.67407964677389,133.2192862374442,12.103005359896292,1,0,0.187153
137.67999267578125,133.44000244140625,30757700,24.41931989298334,131.91428593226843,11.915760864241118,1,0,0.2433339999999999
133.85000610351562,130.9600067138672,25423000,23.723283256771367,130.47285733904158,3.813169321984035,1,0,0.16936800000000002
133.44000244140625,127.2699966430664,28684400,34.445778906273276,129.46357127598353,21.327492446004992,0,0,0.14362600000000003
132.9499969482422,131.16000366210938,26649100,33.47444752639893,128.96071461268835,43.480711126063454,1,1,0.162833
130.3300018310547,128.97000122070312,27567600,33.770592150893506,128.04428591047014,35.382768793530424,1,0,0.160152
128.52000427246094,126.12999725341797,25447100,39.12903302814928,127.36000006539481,41.772143748979644,0,0,0.2960130000000001
129.0500030517578,127.37999725341797,32397100,41.92058852260687,127.07428577968052,69.51830066936813,1,1,0.26630200000000004
126.37000274658203,122.81999969482422,35528500,39.04816275463221,126.20285742623466,23.287681075640087,1,0,0.197016
120.41999816894531,118.16000366210938,19492100,45.28674859004548,125.66571480887276,24.315101824326664,1,0,0.11776099999999996
121.02999877929688,116.4000015258789,22366200,49.983144355544816,125.53928593226841,33.64726200764115,1,0,0.021168999999999997
118.1500015258789,116.25,19612500,46.1275288843305,125.35071454729352,11.130162823555233,0,1,0.05997700000000003
118.5999984741211,117.93000030517578,21392300,52.7034462499388,125.61214338030133,63.78428410087784,1,1,0.18466700000000003
118.18000030517578,116.02999877929688,17796600,57.8227625683693,125.88500050136021,76.08518928835427,0,0,0.23071699999999995
118.62000274658203,117.19999694824219,23618100,50.801329390086785,126.01357214791435,43.98036977259904,1,1,0.2519340000000001
