High,Closed,Volume,RSI,SMA,K,Yesterday,Today,Sentiment_Score
147.22999572753906,143.16000366210938,70492800,17.96790413591424,145.0400003705706,5.785137971448095,0,0,0.08063999999999999
144.25,143.1699981689453,54105100,21.2338864091557,143.89499991280692,12.76936667410697,1,0,0.11283500000000003
142.42999267578125,140.88999938964844,65799300,22.910244872603414,142.73214285714286,11.476275097145267,1,0,0.20549999999999993
143.16000366210938,140.30999755859375,66435100,32.49565404493376,141.97428567068917,31.905993155460294,1,0,0.124784
143.32000732421875,138.1199951171875,81760300,32.86271514718017,141.12428610665458,29.362913963269015,1,0,0.14858500000000002
138.02000427246094,135.27999877929688,79972200,35.932085207676266,140.40071487426758,26.454287042711922,1,0,0.10499500000000006
136.25,134.0800018310547,58280400,41.6445648648133,140.00000054495675,38.08863621954055,0,0,0.040419000000000004
138.61000061035156,136.82000732421875,69672800,39.27445630101174,139.80714362008231,54.95433991756529,1,1,0.053165000000000004
137.2899932861328,134.8300018310547,63646600,41.79605884518721,139.38571439470564,62.7906976744186,1,0,0.10625599999999993
134.9199981689453,132.02999877929688,57758000,54.74244438441859,139.3514289855957,97.9789079170944,0,0,0.187153
134.25999450683594,133.8800048828125,71379600,48.12342035536754,139.41928591047014,69.6993511392787,1,1,0.2433339999999999
133.50999450683594,131.25,69458900,50.30514208479724,139.24142837524414,57.1202655802022,1,0,0.16936800000000002
131.25999450683594,130.25999450683594,63896200,59.44682641913416,139.51714270455497,86.5506564056134,0,0,0.14362600000000003
133.41000366210938,130.47000122070312,70790800,61.50147142224316,139.9764289855957,92.87839941138184,1,1,0.162833
130.2899932861328,126.01000213623047,87686600,77.96293643278636,140.73642894199915,96.08620391206509,0,0,0.160152
127.7699966430664,127.12999725341797,80962700,80.24566521939678,142.11785779680525,94.17520125109827,1,1,0.2960130000000001
128.66000366210938,126.88999938964844,89113600,83.2206599252441,143.7157151358468,98.17829005771725,0,1,0.26630200000000004
130.89999389648438,130.27999877929688,112117500,66.58652141486019,144.84500067574638,69.83400525826768,1,1,0.197016
129.9499969482422,128.41000366210938,76960600,69.38488417474586,145.70642907278878,68.34022669750082,1,0,0.11776099999999996
130.47999572753906,127.98999786376953,75703700,70.22233016025578,146.70285742623466,68.42323198267715,0,0,0.021168999999999997
131.02999877929688,129.6699981689453,85438400,68.40092808506878,147.71714346749442,63.38824103860294,0,1,0.05997700000000003
131.41000366210938,131.3800048828125,69007800,71.09436479756582,148.96000126429968,85.73539776049333,1,1,0.18466700000000003
132.4199981689453,130.9199981689453,63814900,72.50867708052216,150.1307155064174,85.02142615630864,0,0,0.23071699999999995
134.55999755859375,134.35000610351562,77852100,66.21055076070213,151.2050018310547,76.41468500720494,1,1,0.2519340000000001
