High,Closed,Volume,RSI,SMA,K,Yesterday,Today,Sentiment_Score
103.48999786376953,99.52999877929688,87678100,30.187319594315554,100.67499923706055,8.859350445259299,1,0,0.08063999999999999
99.48999786376953,98.23999786376953,68523600,34.86518690405978,99.66071374075753,21.799897478674797,1,0,0.11283500000000003
97.23999786376953,92.55999755859375,94261600,42.131455717950146,98.82571411132812,28.61935674265356,0,0,0.20549999999999993
98.08999633789062,96.93000030517578,66929500,33.572042369688376,98.31857136317662,22.52654509104525,0,1,0.124784
97.77999877929688,97.55999755859375,76501100,30.28400637768999,97.33214296613421,9.446632191525529,1,1,0.14858500000000002
97.3499984741211,93.86000061035156,67307100,33.433831862158456,96.28285762241909,8.049203412714862,0,0,0.10499500000000006
95.44000244140625,94.73999786376953,69002700,31.551310612235184,95.49285779680524,7.657925060493552,0,1,0.040419000000000004
99.31999969482422,97.25,79570400,30.82448916182939,94.79500089372907,20.274920396046873,0,1,0.053165000000000004
98.88999938964844,98.68000030517578,72755000,26.12194703250603,93.79500089372907,10.743798302977895,1,1,0.10625599999999993
98.37000274658203,94.18000030517578,85413600,35.605047980467944,92.85500063214984,25.951749895313682,0,0,0.187153
97.19000244140625,96.93000030517578,85254800,30.796716880556787,92.28357206072126,34.34562090464858,1,1,0.2433339999999999
95.26000213623047,90.93000030517578,103126200,37.74081107397738,91.45500074114118,44.5205545070463,1,0,0.16936800000000002
90.19000244140625,87.56999969482422,67756600,49.86150150404013,91.21071515764508,75.52794442390984,1,0,0.14362600000000003
89.4800033569336,87.45999908447266,65266100,51.81532417577908,91.26071493966239,86.36361009161055,1,1,0.162833
86.4000015258789,83.02999877929688,83219100,67.58974515474759,91.43428639003209,99.03379416848801,0,0,0.160152
85.41999816894531,85.33000183105469,67930800,68.09691835584024,92.11071504865374,91.84367580055188,0,1,0.2960130000000001
86.9800033569336,86.55000305175781,68885100,70.35647380258405,92.81785801478794,92.99452737569744,1,1,0.26630200000000004
86.95999908447266,85.45999908447266,76706000,57.14285714285714,93.00785773141044,51.64833725283063,1,0,0.197016
84.05000305175781,83.12000274658203,62330000,61.932284244387574,93.25357219151088,49.51923278460371,1,0,0.11776099999999996
84.55000305175781,82.87000274658203,54995900,63.10159555103629,93.69071469988141,51.8543728594724,1,0,0.021168999999999997
83.4800033569336,82.80000305175781,58228600,61.01828444835592,94.08142852783203,43.499973842075896,0,1,0.05997700000000001
85.3499984741211,84.97000122070312,57284000,61.00278094867996,94.63142830984933,58.92857142857143,1,1,0.18466700000000003
85.77999877929688,83.25,57433700,68.87519360024451,95.2085712977818,77.14287894112724,0,0,0.23071699999999995
85.68000030517578,85.5199966430664,81431300,67.83440090143446,96.01071439470563,85.15103259262483,0,1,0.25753100000000007
