High,Closed,Volume,RSI,SMA,K,Yesterday,Today,Sentiment_Score
365.9200134277344,363.20001220703125,6696100,23.212580212853823,359.81571524483815,12.061849843021058,0,1,0.08063999999999999
369.0199890136719,368.7699890136719,8256800,17.615575404285522,355.80142865862166,5.075905524192473,1,1,0.11283500000000003
368.8999938964844,360.57000732421875,7766900,17.51273767016434,350.7635716029576,3.892188603374512,1,0,0.20549999999999993
365.6499938964844,357.5299987792969,11796500,18.050899838181607,346.29857090541293,12.726018905549429,1,0,0.124784
362.25,341.7200012207031,15646900,18.710293803760138,341.1557137625558,3.8005883596374646,1,0,0.14858500000000002
344.0,336.7900085449219,28385600,19.263812268279167,336.97428458077565,3.900042288029197,1,0,0.10499500000000006
324.8900146484375,322.57000732421875,18008200,22.626232983603515,333.0549992152623,13.456690511946446,0,1,0.040419000000000004
330.0799865722656,326.75,7814100,29.37052075040164,330.95642743791853,31.27767525894584,0,1,0.053165000000000004
332.5,331.0799865722656,9247000,28.187478852247835,328.77285548618863,36.00568078724168,1,1,0.10625599999999993
336.6499938964844,329.9700012207031,8277200,30.272256323716263,326.4164276123047,41.4511070436959,0,0,0.187153
332.95001220703125,332.5,10856200,25.390736245525886,323.5607125418527,29.638873522810716,1,1,0.2433339999999999
328.8800048828125,326.5,9579700,24.607246834381073,319.8992832728795,13.997115177939186,1,0,0.16936800000000002
329.3500061035156,311.07000732421875,13072300,37.01630191991973,317.27285548618863,33.79582612630319,0,0,0.14362600000000003
321.70001220703125,316.8299865722656,6766600,31.864593253322766,315.67928423200334,35.40131754902099,1,1,0.162833
316.7699890136719,311.57000732421875,8949600,44.47303001139457,314.6285705566406,70.41942406570301,1,0,0.160152
314.17999267578125,307.0,8328400,56.12151097768317,315.15714154924666,88.81093255316188,1,0,0.2960130000000001
311.1400146484375,298.239990234375,9345100,65.17748696216803,316.65714154924666,92.0418118108332,1,0,0.26630200000000004
298.3900146484375,298.05999755859375,6764000,60.36274583287689,318.211427961077,78.55336074135438,1,1,0.197016
295.010009765625,285.5299987792969,7557400,68.9491527170079,319.88214329310824,80.99816307944039,1,0,0.11776099999999996
295.5,283.17999267578125,9588500,62.374719787108106,321.5664280482701,60.19218202493478,1,0,0.021168999999999997
285.19000244140625,281.9200134277344,5964400,61.58121967330785,323.23214285714283,49.489502271328355,0,1,0.05997700000000003
293.57000732421875,293.19000244140625,5778100,58.96325666517791,325.30928475516185,58.15835159234021,0,1,0.18466700000000003
298.4599914550781,296.17999267578125,4251100,59.958746435945635,326.971426827567,68.67653897413678,0,1,0.23071699999999995
298.8800048828125,298.0899963378906,7856200,55.85568084180988,327.99356951032365,57.175863190018504,1,1,0.2519340000000001
